file	preferred_term	from_chebi	to_chebi
data/normalized_yaml/bacterial/mediadive_4827_Vitamin_solution.yaml	Lipoic acid	CHEBI:16494	CHEBI:16494
data/normalized_yaml/bacterial/mediadive_4827_Vitamin_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4828_Main_sol_J853.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4829_Main_sol_J854.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
data/normalized_yaml/bacterial/mediadive_4829_Main_sol_J854.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_482_Main_sol_222.yaml	Galactose	CHEBI:12936	CHEBI:28260
data/normalized_yaml/bacterial/mediadive_482_Main_sol_222.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_482_Main_sol_222.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4830_Solution_A.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4830_Solution_A.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4830_Solution_A.yaml	MnSO4 x n H2O	CHEBI:32139	CHEBI:86360
data/normalized_yaml/bacterial/mediadive_4830_Solution_A.yaml	CoCl2 x 6 H2O	CHEBI:35696	CHEBI:35696
data/normalized_yaml/bacterial/mediadive_4830_Solution_A.yaml	FeSO4 x 7 H2O	CHEBI:32312	CHEBI:75836
data/normalized_yaml/bacterial/mediadive_4830_Solution_A.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4831_Solution_B.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4832_Solution_C.yaml	Cellobiose	CHEBI:17057	CHEBI:17057
data/normalized_yaml/bacterial/mediadive_4832_Solution_C.yaml	Xylose	CHEBI:18222	CHEBI:18222
data/normalized_yaml/bacterial/mediadive_4832_Solution_C.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_483_Main_sol_223.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_483_Main_sol_223.yaml	FeCl3 x 6 H2O	CHEBI:131527	CHEBI:86254
data/normalized_yaml/bacterial/mediadive_483_Main_sol_223.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_483_Main_sol_223.yaml	Tap water	CHEBI:17992	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4840_Solution_A.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4841_Solution_B.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4841_Solution_B.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4842_Solution_C.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4842_Solution_C.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4843_Main_sol_J860.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4844_Modified_UBS_solution.yaml	Ca(NO3)2 x 4 H2O	CHEBI:2509	CHEBI:86159
data/normalized_yaml/bacterial/mediadive_4844_Modified_UBS_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4845_Main_sol_J861.yaml	Sulfur	CHEBI:17909	CHEBI:26833
data/normalized_yaml/bacterial/mediadive_4845_Main_sol_J861.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4846_Main_sol_J862.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4846_Main_sol_J862.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4846_Main_sol_J862.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4848_Vitamin_solution.yaml	Pantothenic acid	CHEBI:46905	CHEBI:7916
data/normalized_yaml/bacterial/mediadive_4848_Vitamin_solution.yaml	Riboflavin	CHEBI:17015	CHEBI:17015
data/normalized_yaml/bacterial/mediadive_4848_Vitamin_solution.yaml	Biotin	CHEBI:15956	CHEBI:15956
data/normalized_yaml/bacterial/mediadive_4848_Vitamin_solution.yaml	alpha-lipoic acid	CHEBI:16494	CHEBI:16494
data/normalized_yaml/bacterial/mediadive_4848_Vitamin_solution.yaml	Thiamine-HCl x 2 H2O	CHEBI:131527	CHEBI:132751
data/normalized_yaml/bacterial/mediadive_4848_Vitamin_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4849_Main_sol_J863.yaml	Inorganic salts-starch agar	CHEBI:26710	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_484_Main_sol_224.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4850_Main_sol_J864.yaml	Na2B4O7 x 10 H2O	CHEBI:86254	CHEBI:131366
data/normalized_yaml/bacterial/mediadive_4850_Main_sol_J864.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4851_Main_sol_J865.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4851_Main_sol_J865.yaml	Ca(NO3)2 x 4 H2O	CHEBI:2509	CHEBI:86159
data/normalized_yaml/bacterial/mediadive_4851_Main_sol_J865.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
